tweet,sentiment
This is the worst experience ever.,negative
I love this product! It's amazing.,negative
This restaurant has great food and service.,negative
I'm so sad about the news.,positive
I'm so sad about the news.,negative
Feeling happy and blessed today.,negative
This is the worst experience ever.,negative
Had a wonderful day with family!,negative
This is the worst experience ever.,negative
Completely dissatisfied with the purchase.,negative
"The movie was fantastic, highly recommend it.",negative
I love this product! It's amazing.,positive
I love this product! It's amazing.,positive
This is the worst experience ever.,negative
I'm so sad about the news.,positive
I'm so sad about the news.,negative
Had a wonderful day with family!,positive
Completely dissatisfied with the purchase.,negative
I love this product! It's amazing.,negative
Had a wonderful day with family!,negative
I'm so sad about the news.,negative
Had a wonderful day with family!,positive
"The movie was fantastic, highly recommend it.",negative
I'm so sad about the news.,positive
I will never buy from here again.,positive
Completely dissatisfied with the purchase.,negative
This restaurant has great food and service.,positive
I love this product! It's amazing.,negative
Feeling happy and blessed today.,positive
"The movie was fantastic, highly recommend it.",negative
"Terrible customer support, very disappointed.",positive
This restaurant has great food and service.,positive
Feeling happy and blessed today.,negative
I'm so sad about the news.,positive
"Terrible customer support, very disappointed.",positive
This is the worst experience ever.,negative
This is the worst experience ever.,negative
"The movie was fantastic, highly recommend it.",negative
This is the worst experience ever.,negative
"Terrible customer support, very disappointed.",positive
"Terrible customer support, very disappointed.",negative
Completely dissatisfied with the purchase.,negative
This restaurant has great food and service.,negative
I love this product! It's amazing.,negative
I will never buy from here again.,positive
Had a wonderful day with family!,positive
This is the worst experience ever.,positive
"The movie was fantastic, highly recommend it.",negative
This is the worst experience ever.,positive
Had a wonderful day with family!,positive
This restaurant has great food and service.,negative
Completely dissatisfied with the purchase.,positive
"Terrible customer support, very disappointed.",positive
Completely dissatisfied with the purchase.,negative
I'm so sad about the news.,positive
This is the worst experience ever.,negative
I love this product! It's amazing.,positive
I'm so sad about the news.,positive
This restaurant has great food and service.,negative
This is the worst experience ever.,positive
I'm so sad about the news.,negative
This is the worst experience ever.,negative
"The movie was fantastic, highly recommend it.",negative
This restaurant has great food and service.,negative
I will never buy from here again.,positive
"Terrible customer support, very disappointed.",positive
Feeling happy and blessed today.,negative
"Terrible customer support, very disappointed.",positive
"Terrible customer support, very disappointed.",positive
I'm so sad about the news.,positive
This restaurant has great food and service.,positive
This is the worst experience ever.,negative
Completely dissatisfied with the purchase.,positive
Feeling happy and blessed today.,negative
Had a wonderful day with family!,positive
I'm so sad about the news.,positive
Feeling happy and blessed today.,negative
I will never buy from here again.,negative
"The movie was fantastic, highly recommend it.",negative
This restaurant has great food and service.,negative
Had a wonderful day with family!,positive
I'm so sad about the news.,negative
"Terrible customer support, very disappointed.",negative
I love this product! It's amazing.,positive
I'm so sad about the news.,positive
I love this product! It's amazing.,negative
"Terrible customer support, very disappointed.",negative
"The movie was fantastic, highly recommend it.",negative
This restaurant has great food and service.,negative
This is the worst experience ever.,negative
I'm so sad about the news.,negative
Completely dissatisfied with the purchase.,negative
"Terrible customer support, very disappointed.",positive
I'm so sad about the news.,negative
I will never buy from here again.,negative
"The movie was fantastic, highly recommend it.",positive
I will never buy from here again.,positive
Feeling happy and blessed today.,negative
This restaurant has great food and service.,negative
Feeling happy and blessed today.,negative
I'm so sad about the news.,negative
Had a wonderful day with family!,positive
Had a wonderful day with family!,negative
This restaurant has great food and service.,negative
Completely dissatisfied with the purchase.,positive
"The movie was fantastic, highly recommend it.",positive
Completely dissatisfied with the purchase.,negative
"The movie was fantastic, highly recommend it.",negative
"Terrible customer support, very disappointed.",positive
I'm so sad about the news.,negative
Feeling happy and blessed today.,positive
Had a wonderful day with family!,positive
I will never buy from here again.,negative
This is the worst experience ever.,positive
I love this product! It's amazing.,positive
This is the worst experience ever.,positive
Feeling happy and blessed today.,negative
Feeling happy and blessed today.,negative
"The movie was fantastic, highly recommend it.",positive
Completely dissatisfied with the purchase.,negative
This is the worst experience ever.,positive
"The movie was fantastic, highly recommend it.",positive
"The movie was fantastic, highly recommend it.",negative
Completely dissatisfied with the purchase.,negative
I will never buy from here again.,negative
Had a wonderful day with family!,positive
This restaurant has great food and service.,positive
Had a wonderful day with family!,positive
I love this product! It's amazing.,negative
This is the worst experience ever.,negative
Had a wonderful day with family!,positive
This restaurant has great food and service.,negative
"Terrible customer support, very disappointed.",negative
This is the worst experience ever.,negative
This restaurant has great food and service.,negative
"The movie was fantastic, highly recommend it.",positive
Feeling happy and blessed today.,negative
I will never buy from here again.,positive
I love this product! It's amazing.,positive
This restaurant has great food and service.,positive
Had a wonderful day with family!,negative
Feeling happy and blessed today.,negative
Had a wonderful day with family!,positive
This is the worst experience ever.,negative
This restaurant has great food and service.,positive
Had a wonderful day with family!,negative
Completely dissatisfied with the purchase.,positive
I'm so sad about the news.,negative
Feeling happy and blessed today.,negative
"Terrible customer support, very disappointed.",negative
Feeling happy and blessed today.,negative
Had a wonderful day with family!,negative
Had a wonderful day with family!,positive
I love this product! It's amazing.,positive
Completely dissatisfied with the purchase.,negative
"Terrible customer support, very disappointed.",positive
I will never buy from here again.,negative
I love this product! It's amazing.,positive
This is the worst experience ever.,positive
"Terrible customer support, very disappointed.",negative
This restaurant has great food and service.,negative
I'm so sad about the news.,negative
I love this product! It's amazing.,positive
I'm so sad about the news.,positive
Completely dissatisfied with the purchase.,positive
This is the worst experience ever.,positive
This is the worst experience ever.,negative
I will never buy from here again.,negative
This is the worst experience ever.,positive
Had a wonderful day with family!,positive
Feeling happy and blessed today.,positive
Feeling happy and blessed today.,positive
I will never buy from here again.,negative
Had a wonderful day with family!,negative
Feeling happy and blessed today.,negative
This restaurant has great food and service.,negative
Had a wonderful day with family!,positive
Completely dissatisfied with the purchase.,negative
"The movie was fantastic, highly recommend it.",positive
I'm so sad about the news.,negative
Had a wonderful day with family!,negative
I'm so sad about the news.,negative
This restaurant has great food and service.,positive
"The movie was fantastic, highly recommend it.",negative
"Terrible customer support, very disappointed.",positive
I will never buy from here again.,negative
Had a wonderful day with family!,negative
I will never buy from here again.,positive
This is the worst experience ever.,negative
I'm so sad about the news.,positive
I'm so sad about the news.,negative
This is the worst experience ever.,negative
"Terrible customer support, very disappointed.",positive
I love this product! It's amazing.,negative
Completely dissatisfied with the purchase.,negative
Had a wonderful day with family!,positive
I'm so sad about the news.,positive
Completely dissatisfied with the purchase.,negative
I'm so sad about the news.,positive
I love this product! It's amazing.,positive
This is the worst experience ever.,positive
I love this product! It's amazing.,positive
I'm so sad about the news.,negative
This is the worst experience ever.,positive
I love this product! It's amazing.,positive
"Terrible customer support, very disappointed.",positive
This is the worst experience ever.,positive
Had a wonderful day with family!,positive
I'm so sad about the news.,positive
This restaurant has great food and service.,positive
I will never buy from here again.,negative
I'm so sad about the news.,positive
Had a wonderful day with family!,positive
Feeling happy and blessed today.,negative
Completely dissatisfied with the purchase.,positive
Completely dissatisfied with the purchase.,positive
I will never buy from here again.,negative
I'm so sad about the news.,positive
I will never buy from here again.,positive
"The movie was fantastic, highly recommend it.",positive
I'm so sad about the news.,positive
This is the worst experience ever.,positive
This is the worst experience ever.,negative
"The movie was fantastic, highly recommend it.",positive
"Terrible customer support, very disappointed.",negative
"The movie was fantastic, highly recommend it.",positive
"The movie was fantastic, highly recommend it.",positive
I will never buy from here again.,negative
I love this product! It's amazing.,positive
This is the worst experience ever.,positive
I love this product! It's amazing.,negative
"The movie was fantastic, highly recommend it.",positive
"Terrible customer support, very disappointed.",positive
This is the worst experience ever.,negative
I'm so sad about the news.,negative
I'm so sad about the news.,negative
I'm so sad about the news.,positive
Had a wonderful day with family!,negative
I will never buy from here again.,positive
Feeling happy and blessed today.,positive
"The movie was fantastic, highly recommend it.",negative
Feeling happy and blessed today.,negative
This restaurant has great food and service.,positive
I will never buy from here again.,positive
I'm so sad about the news.,negative
This is the worst experience ever.,negative
I will never buy from here again.,negative
Had a wonderful day with family!,positive
This is the worst experience ever.,negative
I love this product! It's amazing.,negative
Had a wonderful day with family!,positive
I love this product! It's amazing.,positive
This is the worst experience ever.,negative
I'm so sad about the news.,positive
Feeling happy and blessed today.,positive
"The movie was fantastic, highly recommend it.",positive
I will never buy from here again.,negative
I will never buy from here again.,negative
I'm so sad about the news.,negative
"The movie was fantastic, highly recommend it.",negative
I love this product! It's amazing.,negative
Feeling happy and blessed today.,negative
"The movie was fantastic, highly recommend it.",positive
I love this product! It's amazing.,positive
"The movie was fantastic, highly recommend it.",positive
This restaurant has great food and service.,negative
I will never buy from here again.,negative
This restaurant has great food and service.,positive
"The movie was fantastic, highly recommend it.",negative
Had a wonderful day with family!,negative
I will never buy from here again.,negative
Feeling happy and blessed today.,negative
I'm so sad about the news.,negative
This restaurant has great food and service.,positive
I'm so sad about the news.,negative
I love this product! It's amazing.,negative
Completely dissatisfied with the purchase.,negative
Had a wonderful day with family!,negative
I love this product! It's amazing.,negative
"Terrible customer support, very disappointed.",positive
I love this product! It's amazing.,negative
I love this product! It's amazing.,positive
Completely dissatisfied with the purchase.,positive
I will never buy from here again.,positive
Had a wonderful day with family!,positive
Had a wonderful day with family!,negative
Feeling happy and blessed today.,positive
I love this product! It's amazing.,negative
Had a wonderful day with family!,positive
This is the worst experience ever.,positive
Feeling happy and blessed today.,negative
This is the worst experience ever.,positive
Completely dissatisfied with the purchase.,negative
This is the worst experience ever.,negative
I'm so sad about the news.,negative
"The movie was fantastic, highly recommend it.",positive
This is the worst experience ever.,negative
Completely dissatisfied with the purchase.,negative
I'm so sad about the news.,negative
Completely dissatisfied with the purchase.,positive
Completely dissatisfied with the purchase.,positive
I love this product! It's amazing.,positive
Completely dissatisfied with the purchase.,negative
This is the worst experience ever.,positive
"The movie was fantastic, highly recommend it.",positive
Completely dissatisfied with the purchase.,negative
Completely dissatisfied with the purchase.,negative
Had a wonderful day with family!,positive
"Terrible customer support, very disappointed.",negative
This restaurant has great food and service.,positive
I'm so sad about the news.,negative
"Terrible customer support, very disappointed.",positive
I'm so sad about the news.,negative
This restaurant has great food and service.,positive
"The movie was fantastic, highly recommend it.",positive
Feeling happy and blessed today.,negative
This restaurant has great food and service.,negative
I will never buy from here again.,negative
"Terrible customer support, very disappointed.",negative
This is the worst experience ever.,positive
I love this product! It's amazing.,positive
I will never buy from here again.,positive
Completely dissatisfied with the purchase.,negative
Completely dissatisfied with the purchase.,positive
This is the worst experience ever.,positive
This is the worst experience ever.,positive
Had a wonderful day with family!,positive
I'm so sad about the news.,positive
Had a wonderful day with family!,negative
This restaurant has great food and service.,negative
Feeling happy and blessed today.,negative
"Terrible customer support, very disappointed.",negative
This is the worst experience ever.,positive
I'm so sad about the news.,negative
"Terrible customer support, very disappointed.",negative
This restaurant has great food and service.,negative
Feeling happy and blessed today.,positive
I will never buy from here again.,positive
Had a wonderful day with family!,positive
This restaurant has great food and service.,positive
Completely dissatisfied with the purchase.,positive
Had a wonderful day with family!,positive
I love this product! It's amazing.,negative
Had a wonderful day with family!,negative
This restaurant has great food and service.,negative
This is the worst experience ever.,negative
Feeling happy and blessed today.,negative
This restaurant has great food and service.,negative
This is the worst experience ever.,negative
This is the worst experience ever.,positive
Had a wonderful day with family!,positive
Feeling happy and blessed today.,negative
This restaurant has great food and service.,negative
This restaurant has great food and service.,positive
Completely dissatisfied with the purchase.,negative
I'm so sad about the news.,negative
"Terrible customer support, very disappointed.",negative
I'm so sad about the news.,positive
This restaurant has great food and service.,positive
Had a wonderful day with family!,negative
I will never buy from here again.,positive
This restaurant has great food and service.,positive
