Review,Sentiment
"One of the worst films I have seen, the acting was wooden and flat. Deeply unsatisfying.",negative
"A masterpiece of modern cinema, the cinematography was gorgeous. A must see.",positive
"I regret watching this, the plot made no sense at all. Deeply unsatisfying.",negative
"I regret watching this, the plot made no sense at all. Avoid it.",negative
"One of the worst films I have seen, the plot made no sense at all. Deeply unsatisfying.",negative
"One of the worst films I have seen, the plot made no sense at all. Avoid it.",negative
"A brilliant and moving picture, the cinematography was gorgeous. Five stars from me.",positive
"Superb acting and direction, the soundtrack was beautiful. Five stars from me.",positive
"Wonderful storytelling throughout, the cinematography was gorgeous. Truly excellent.",positive
"One of the worst films I have seen, the characters were dull and lifeless. Avoid it.",negative
"I was thoroughly disappointed, the editing was sloppy. Do not bother.",negative
"A masterpiece of modern cinema, the characters felt real and warm. Truly excellent.",positive
"A masterpiece of modern cinema, the soundtrack was beautiful. Truly excellent.",positive
"One of the best movies this year, the pacing kept me hooked. Highly recommended.",positive
"This film exceeded all expectations, the performances were outstanding. A must see.",positive
"The movie was a total mess, the editing was sloppy. One star at best.",negative
"A brilliant and moving picture, the cinematography was gorgeous. Highly recommended.",positive
"A complete waste of time, the editing was sloppy. Do not bother.",negative
"This film was a huge letdown, nothing happened for an hour. I want my money back.",negative
"One of the best movies this year, the performances were outstanding. I would watch it again.",positive
"This film exceeded all expectations, the script was sharp and witty. Five stars from me.",positive
"This film exceeded all expectations, the cinematography was gorgeous. Highly recommended.",positive
"One of the best movies this year, the pacing kept me hooked. Five stars from me.",positive
"One of the worst films I have seen, the acting was wooden and flat. Deeply unsatisfying.",negative
"I regret watching this, the characters were dull and lifeless. One star at best.",negative
"A brilliant and moving picture, the pacing kept me hooked. Five stars from me.",positive
"One of the best movies this year, the performances were outstanding. Five stars from me.",positive
"Wonderful storytelling throughout, the cinematography was gorgeous. Truly excellent.",positive
"I regret watching this, the editing was sloppy. Avoid it.",negative
"This film was a huge letdown, the plot made no sense at all. One star at best.",negative
"I was thoroughly disappointed, the characters were dull and lifeless. Do not bother.",negative
"Wonderful storytelling throughout, the performances were outstanding. Five stars from me.",positive
"I was thoroughly disappointed, nothing happened for an hour. I want my money back.",negative
"I regret watching this, the acting was wooden and flat. One star at best.",negative
"I was thoroughly disappointed, the characters were dull and lifeless. Deeply unsatisfying.",negative
"I thoroughly enjoyed every minute, the pacing kept me hooked. A must see.",positive
"A masterpiece of modern cinema, the cinematography was gorgeous. I would watch it again.",positive
"I was thoroughly disappointed, the acting was wooden and flat. Deeply unsatisfying.",negative
"The movie was a total mess, the plot made no sense at all. One star at best.",negative
"Superb acting and direction, the characters felt real and warm. Truly excellent.",positive
"One of the best movies this year, the soundtrack was beautiful. A must see.",positive
"Superb acting and direction, the performances were outstanding. Five stars from me.",positive
"The movie was a total mess, nothing happened for an hour. Deeply unsatisfying.",negative
"I regret watching this, the dialogue was cringeworthy. I want my money back.",negative
"I was thoroughly disappointed, the dialogue was cringeworthy. Deeply unsatisfying.",negative
"I thoroughly enjoyed every minute, the performances were outstanding. I would watch it again.",positive
"Absolutely loved this film, the soundtrack was beautiful. Highly recommended.",positive
"Painfully boring from start to finish, the dialogue was cringeworthy. I want my money back.",negative
"Terrible writing and awful pacing, the acting was wooden and flat. Do not bother.",negative
"One of the worst films I have seen, the characters were dull and lifeless. I want my money back.",negative
"Superb acting and direction, the soundtrack was beautiful. Five stars from me.",positive
"I regret watching this, the acting was wooden and flat. Do not bother.",negative
"A masterpiece of modern cinema, the pacing kept me hooked. Five stars from me.",positive
"I regret watching this, nothing happened for an hour. Deeply unsatisfying.",negative
"Superb acting and direction, the characters felt real and warm. I would watch it again.",positive
"Painfully boring from start to finish, the acting was wooden and flat. Do not bother.",negative
"Absolutely loved this film, the performances were outstanding. I would watch it again.",positive
"Superb acting and direction, the soundtrack was beautiful. Five stars from me.",positive
"This film was a huge letdown, the editing was sloppy. Do not bother.",negative
"One of the best movies this year, the pacing kept me hooked. I would watch it again.",positive
"One of the worst films I have seen, the characters were dull and lifeless. I want my money back.",negative
"A complete waste of time, nothing happened for an hour. Avoid it.",negative
"One of the worst films I have seen, the plot made no sense at all. One star at best.",negative
"Wonderful storytelling throughout, the cinematography was gorgeous. A must see.",positive
"I was thoroughly disappointed, the dialogue was cringeworthy. Do not bother.",negative
"Terrible writing and awful pacing, the acting was wooden and flat. Avoid it.",negative
"A complete waste of time, the acting was wooden and flat. One star at best.",negative
"This film exceeded all expectations, the cinematography was gorgeous. I would watch it again.",positive
"I was thoroughly disappointed, nothing happened for an hour. Avoid it.",negative
"Absolutely loved this film, the script was sharp and witty. Highly recommended.",positive
"Absolutely loved this film, the soundtrack was beautiful. Truly excellent.",positive
"A complete waste of time, the editing was sloppy. Do not bother.",negative
"A masterpiece of modern cinema, the characters felt real and warm. A must see.",positive
"Terrible writing and awful pacing, the dialogue was cringeworthy. One star at best.",negative
"I thoroughly enjoyed every minute, the characters felt real and warm. Five stars from me.",positive
"Absolutely loved this film, the soundtrack was beautiful. Five stars from me.",positive
"A complete waste of time, the editing was sloppy. Deeply unsatisfying.",negative
"A brilliant and moving picture, the performances were outstanding. Five stars from me.",positive
"This film was a huge letdown, the acting was wooden and flat. Deeply unsatisfying.",negative
"Wonderful storytelling throughout, the cinematography was gorgeous. Highly recommended.",positive
"The movie was a total mess, nothing happened for an hour. Deeply unsatisfying.",negative
"Terrible writing and awful pacing, the acting was wooden and flat. Deeply unsatisfying.",negative
"Absolutely loved this film, the performances were outstanding. Truly excellent.",positive
"One of the best movies this year, the pacing kept me hooked. A must see.",positive
"Superb acting and direction, the soundtrack was beautiful. Five stars from me.",positive
"Painfully boring from start to finish, the acting was wooden and flat. One star at best.",negative
"This film was a huge letdown, the acting was wooden and flat. Avoid it.",negative
"I thoroughly enjoyed every minute, the performances were outstanding. I would watch it again.",positive
"Terrible writing and awful pacing, the editing was sloppy. Avoid it.",negative
"Wonderful storytelling throughout, the characters felt real and warm. A must see.",positive
"Wonderful storytelling throughout, the characters felt real and warm. Highly recommended.",positive
"A masterpiece of modern cinema, the cinematography was gorgeous. A must see.",positive
"Wonderful storytelling throughout, the performances were outstanding. A must see.",positive
"One of the best movies this year, the soundtrack was beautiful. Highly recommended.",positive
"Superb acting and direction, the cinematography was gorgeous. Five stars from me.",positive
"I was thoroughly disappointed, the acting was wooden and flat. Avoid it.",negative
"A complete waste of time, the dialogue was cringeworthy. Deeply unsatisfying.",negative
"Superb acting and direction, the soundtrack was beautiful. Five stars from me.",positive
"A brilliant and moving picture, the soundtrack was beautiful. Highly recommended.",positive
"This film exceeded all expectations, the script was sharp and witty. A must see.",positive
"A brilliant and moving picture, the pacing kept me hooked. I would watch it again.",positive
"One of the best movies this year, the performances were outstanding. Highly recommended.",positive
"I regret watching this, nothing happened for an hour. Avoid it.",negative
"I regret watching this, the acting was wooden and flat. I want my money back.",negative
"One of the worst films I have seen, the dialogue was cringeworthy. Avoid it.",negative
"Painfully boring from start to finish, the editing was sloppy. Avoid it.",negative
"A complete waste of time, the editing was sloppy. Avoid it.",negative
"Superb acting and direction, the pacing kept me hooked. Truly excellent.",positive
"One of the best movies this year, the cinematography was gorgeous. Truly excellent.",positive
"A brilliant and moving picture, the pacing kept me hooked. Highly recommended.",positive
"A brilliant and moving picture, the soundtrack was beautiful. I would watch it again.",positive
"Terrible writing and awful pacing, the acting was wooden and flat. I want my money back.",negative
"I thoroughly enjoyed every minute, the characters felt real and warm. Highly recommended.",positive
"One of the best movies this year, the characters felt real and warm. Truly excellent.",positive
"This film exceeded all expectations, the soundtrack was beautiful. I would watch it again.",positive
"One of the best movies this year, the pacing kept me hooked. I would watch it again.",positive
"A brilliant and moving picture, the cinematography was gorgeous. I would watch it again.",positive
"This film was a huge letdown, the plot made no sense at all. One star at best.",negative
"Painfully boring from start to finish, nothing happened for an hour. One star at best.",negative
"Painfully boring from start to finish, the plot made no sense at all. One star at best.",negative
"I thoroughly enjoyed every minute, the performances were outstanding. A must see.",positive
"I regret watching this, the editing was sloppy. One star at best.",negative
"A brilliant and moving picture, the performances were outstanding. Highly recommended.",positive
"I regret watching this, the plot made no sense at all. I want my money back.",negative
"One of the worst films I have seen, the characters were dull and lifeless. One star at best.",negative
"One of the best movies this year, the pacing kept me hooked. A must see.",positive
"Absolutely loved this film, the pacing kept me hooked. I would watch it again.",positive
"One of the best movies this year, the soundtrack was beautiful. Truly excellent.",positive
"This film was a huge letdown, the dialogue was cringeworthy. Avoid it.",negative
"A complete waste of time, the dialogue was cringeworthy. Deeply unsatisfying.",negative
"A masterpiece of modern cinema, the soundtrack was beautiful. Highly recommended.",positive
"Superb acting and direction, the performances were outstanding. A must see.",positive
"Absolutely loved this film, the soundtrack was beautiful. Five stars from me.",positive
"This film was a huge letdown, nothing happened for an hour. Do not bother.",negative
"A masterpiece of modern cinema, the pacing kept me hooked. I would watch it again.",positive
"Terrible writing and awful pacing, the characters were dull and lifeless. I want my money back.",negative
"The movie was a total mess, the acting was wooden and flat. Deeply unsatisfying.",negative
"One of the best movies this year, the cinematography was gorgeous. A must see.",positive
"A complete waste of time, the acting was wooden and flat. One star at best.",negative
"One of the worst films I have seen, the plot made no sense at all. One star at best.",negative
"Painfully boring from start to finish, nothing happened for an hour. Deeply unsatisfying.",negative
"One of the best movies this year, the characters felt real and warm. Five stars from me.",positive
"One of the best movies this year, the script was sharp and witty. Highly recommended.",positive
"I was thoroughly disappointed, nothing happened for an hour. Do not bother.",negative
"I regret watching this, the editing was sloppy. Deeply unsatisfying.",negative
"This film was a huge letdown, the plot made no sense at all. I want my money back.",negative
"Superb acting and direction, the cinematography was gorgeous. Truly excellent.",positive
"I thoroughly enjoyed every minute, the pacing kept me hooked. A must see.",positive
"This film was a huge letdown, the acting was wooden and flat. One star at best.",negative
